Source,Target
Veroiba2,ivanedlm
Eb3rSonCMonToYa,capTercio
cota3143,enricvd
florsensible2,republicviatger
RosaCanyadell,bcnencomu
jperapi,republicviatger
vadortitus,Elisendalamany
vadortitus,CollectiuPunt6
vadortitus,rosasuri
vadortitus,ERCbcn
joanv679,republicviatger
nunuemporda,republicviatger
joselito1_618,btvnoticies
konstantinmx,republicviatger
SantiGil61,republicviatger
1951mge,republicviatger
barbut_el,republicviatger
MargaXrepublica,republicviatger
bernat2019,republicviatger
neuscasanovas,republicviatger
Muntsamar,republicviatger
socjomateix,republicviatger
Indepe_catala,republicviatger
teresasoley,republicviatger
Pastanaga19,republicviatger
solaagnes,republicviatger
JciuranaJoan14,republicviatger
alripol95,republicviatger
VMHM36,capTercio
EnriOTGN,republicviatger
i_lora61,vadortitus
i_lora61,ERCbcn
i_lora61,ernestmaragall
danieltorrelles,republicviatger
ControlDEntrada,republicviatger
pitusihara,republicviatger
TerrerJosep,republicviatger
vadortitus,ERCbcn
vadortitus,ernestmaragall
mas_montagut,republicviatger
lordpady,ivanedlm
ampoladv,iescolar
tala_pepe,urisole
PanicOrfila,pscbarcelona
PanicOrfila,jaumecollboni
ramon_ochoteco,pscbarcelona
ramon_ochoteco,jaumecollboni
EstiradoLeonor,republicviatger
portaj65,Puntual24H
jemnodi,republicviatger
PrettyKittyFR,capTercio
LacimaMunt58464,republicviatger
0punt0,republicviatger
Hanxxs,republicviatger
theoldlego,republicviatger
Laura_CMx,bcnencomu
aramateix,CUPBarcelona
Agapant11,republicviatger
CAT_2023_INDEPE,NiellPipa
aramateix,CUPBarcelona
CarlosF66089689,abc_es
ImmaTresserras,republicviatger
SergiFidalgo,danielsirera
SergiFidalgo,Consell_Audio
CUPBarcelona,bashachanguerra
palomares_jordi,updayESP
Antiizquierdas,viquirepublica
sergi20goalie,republicviatger
lludrigot,republicviatger
BOperBCN,pscbarcelona
BOperBCN,jaumecollboni
BOperBCN,lamarinacat
Kti_Diaz,republicviatger
josep_casellas,republicviatger
RonaldMen2a,RevistaAlterEco
RonaldMen2a,jm_montaner
perpebrots22,republicviatger
lluitadorcat,elnacionalcat
FusNadal,republicviatger
cabrer2,republicviatger
carles__mart,republicviatger
Wittgenstein_jm,republicviatger
ediar,republicviatger
obffelius,republicviatger
Lluis_Doporto,republicviatger
tramptramptramp,OnVasBarcelona
Eppymondays,republicviatger
arqueoleg,ComunsFederals
arqueoleg,xaviertrias
AlbertoJuradod1,bcnencomu
rosasaam,Lucia_MartinG
n_balleste,republicviatger
Alsina1970,republicviatger
pep_labranya,republicviatger
ClicksxREPCAT,republicviatger
antifascista__1,Jaumeasens
jesuset58,republicviatger
alcaudon,republicviatger
jolitul,republicviatger
elmeguex,republicviatger
feliu_enric,btvnoticies
Quim229005731,republicviatger
Homonomos,republicviatger
germanilosky,republicviatger
gripaubabau1,btvnoticies
GabrielLosada,bcnencomu
Poxci53,JordiMartiGrau
Poxci53,ERCbcn
eddypipe,Jaumeasens
VilanaMerce,republicviatger
lloptp,republicviatger
JuanFerBelCo,republicviatger
pferrerm,republicviatger
CrancRoquer,republicviatger
peitocavernoso,republicviatger
MonDiari,TotBcn
MonDiari,ernestmaragall
MonDiari,ERCbcn
jordipalaciosg,republicviatger
TotBcn,ernestmaragall
TotBcn,ERCbcn
mexcat1,republicviatger
Gemmaaguilera,ernestmaragall
Gemmaaguilera,ERCbcn
mmxals,Lucia_MartinG
jaumecollboni,pscbarcelona
jaumecollboni,jaumecollboni
manuelvergara62,nachocardero
LucasIgle1,republicviatger
manuelvergara62,elCatalan_es
i_lora61,RavalSud
MBellorbi,republicviatger
manelhernande14,Barcelonaesque1
manelhernande14,monlliure72
manelhernande14,xavi_bcn_
manelhernande14,Dumacbcn
manelhernande14,bcnencomu
manelhernande14,OnVasBarcelona
manelhernande14,AdaColau
manelhernande14,BcnXTothom
manelhernande14,bcnesimparable
manelhernande14,motoristesbcn
manelhernande14,crackdel2012
manelhernande14,EnComu_Podem
manelhernande14,JuntsxCatBCN
manelhernande14,fans_portaporta
gironi100,republicviatger
BlackHawkAssalt,JuntsxCatBCN
BlackHawkAssalt,xaviertrias
BlackHawkAssalt,TriasperBCN
sgasull44,republicviatger
Estellencs1,republicviatger
EA1000L,republicviatger
absenta2019,republicviatger
jmprovir,republicviatger
Superclochard,republicviatger
Santi_ibarra_,Lucia_MartinG
bcnencomu,EnComu_Podem
comandantbond1,republicviatger
AdricatBcn,republicviatger
mrqz900,republicviatger
JosuLegal,iescolar
tempesta_negra,republicviatger
j_guitart,republicviatger
Perejosep60,republicviatger
juanariveroqui1,iescolar
yokofish1,capTercio
ToSaCvi,republicviatger
kapalsjoan2028,republicviatger
edubichy,republicviatger
ElTontoUtil_ETU,republicviatger
TerrerJosep,OnVasBarcelona
Savingprivatec1,republicviatger
xpep67,republicviatger
SitgesPedra1,republicviatger
annamariasastre,CUPBarcelona
annamariasastre,CUPGracia
TarekCheriha,Jaumeasens
SSTG_encomu,bcnencomu
jordilleida,republicviatger
IvanForero4,bcnencomu
vicheresphotma1,republicviatger
capa_eva,Lucia_MartinG
capdesuro,republicviatger
capa_eva,bcnencomu
Elxiquetdesanfe,republicviatger
jmont_prldemp,republicviatger
capa_eva,MarcSerraSole
bashachanguerra,CUPBarcelona
nb1Oct,republicviatger
Llorenc_sala,republicviatger
ClotEnComu,EnComu_Podem
ClotEnComu,Lucia_MartinG
Josepantongil,republicviatger
anasebcn,bcnencomu
MorenaMariaPa,Jaumeasens
laradiomola,rtvenoticies
laradiomola,RTVECatalunya
ClotEnComu,bcnencomu
martamillimetre,republicviatger
ClotEnComu,somosdomitilas
nachopallascard,republicviatger
EvamolloNov,OnVasBarcelona
lexmarcasvila,republicviatger
AAngelsmel,republicviatger
ErreVeJota,republicviatger
ikanyigainst,republicviatger
nela_mllrio,republicviatger
JoanRub45406634,republicviatger
RQuijorna,republicviatger
CUPBarcelona,bashachanguerra
CSeuba,republicviatger
TXIKI39644970,republicviatger
FundacionCiEM,Puntual24H
rtvenoticies,RTVECatalunya
rtvenoticies,laradiomola
rtvenoticies,raulmorenom
rtvenoticies,socialistes_cat
SansMarcuello,republicviatger
jordiskunk001,republicviatger
Mon_Sal_Ga,republicviatger
bcnenlluita,republicviatger
duduipa,republicviatger
Grin1714,republicviatger
sinplanfijo1,ivanedlm
ERCMunicipals,republicviatger
mllacet,republicviatger
davidcadi,Lucia_MartinG
RosaEscardo,republicviatger
FranValle1,bcnencomu
Duc02452076,republicviatger
BertaCasarramon,republicviatger
NomesJoan,republicviatger
josepjoeycat,republicviatger
AlbaFde83192647,somosdomitilas
VidalMoll,republicviatger
ngelmeres,republicviatger
Margafarigola,republicviatger
fopiga,RavalSud
cava_SEdR,republicviatger
vadortitus,ercdonesbcn
tal_vado,republicviatger
susanaripolllo1,capTercio
IdeaiUpc,la_UPC
IdeaiUpc,cecilioangulo
IdeaiUpc,ulisescortes
IdeaiUpc,KarinagibertK
martamu4,republicviatger
marcos_garci,eldiarioes
ditju67,republicviatger
alopezs0981,bcnencomu
VicenGracia,republicviatger
andreu_bv,Ciddavid
maitema1973,republicviatger
EstelaPateada,republicviatger
SzTAmzsPUi6KE0q,republicviatger
annickrepublic2,RavalSud
Manutitico,MonederoJC
Manutitico,IdiazAyuso
sainz_gemma,republicviatger
elrafalet,republicviatger
dialecsost,republicviatger
alexistudela,republicviatger
josep_55,republicviatger
XeviSarg,republicviatger
esterpensativa2,republicviatger
Maria08486940,republicviatger
abocca73,Jaumeasens
NuriaMolas3,republicviatger
Follet_Verd,republicviatger
OrniBorni,republicviatger
ikassten,republicviatger
SeleccionTorres,ivanedlm
nb1Oct,PacoEscudero12
junecashh,republicviatger
bashachanguerra,CUPBarcelona
JordiGR1974,republicviatger
PonsEspe,jm_clavero
CUPBarcelona,bashachanguerra
CUPBarcelona,MercatDePages
CUPBarcelona,germanetes
RAmbrienta,republicviatger
alb_macviv,republicviatger
Mesegu13,republicviatger
caperucita1900,OnVasBarcelona
brmgirona,republicviatger
Atzucac1,republicviatger
EMOCIONS62,republicviatger
Jaume752,republicviatger
annickrepublic2,OnVasBarcelona
elmojama4,bcnencomu
pablo_schlegl,republicviatger
monjejuli,republicviatger
Fer60218232Pere,OnVasBarcelona
elCatalan_es,elCatalan_es
EmmaGon2,republicviatger
rolivella62,republicviatger
NiellPipa,elnacionalcat
somosdomitilas,bcnencomu
Socratesmorris5,republicviatger
JaumePinyol2,republicviatger
psiborn,republicviatger
TESSTES82062152,republicviatger
VctorHerrero5,republicviatger
CatalanaIngrid,republicviatger
MiqTweet,republicviatger
MonicaT65814076,ivanedlm
narcisbeg,republicviatger
CheloGarcia2022,ivanedlm
Superllisti,Lucia_MartinG
angelstomasgonz,Lucia_MartinG
baldufaaa,republicviatger
misterpause,republicviatger
SergiFidalgo,danielsirera
Fillo02677083,republicviatger
alextuitaire,republicviatger
tapiadolfo002,comuns_info
RaulAMaster,republicviatger
helenag001,bcnencomu
ClotEnComu,bcnencomu
aurora6501,Jaumeasens
nomes_el_poble,republicviatger
Josepd51,republicviatger
Ninu_Mishu,republicviatger
Jaumestragues,republicviatger
Georsic,republicviatger
chusi17,republicviatger
protest888,anna_sanllehy
protest888,elnacionalcat
begonys,bcnencomu
RobertL009,capTercio
pereraanaya,republicviatger
Xoman08,republicviatger
Xavi81345734,republicviatger
ToniFontich,republicviatger
mytnefer,Jaumeasens
susagna40,republicviatger
loc_coco,curra01
DahlsrudKjersti,republicviatger
SusannaVF65,republicviatger
Reyo41,bcnencomu
BastidaJoa92494,republicviatger
susannasegovia,Lucia_MartinG
Pepituvadecurt2,republicviatger
CucaIsabelPetit,republicviatger
LauraCanyades,bcnencomu
CatEnComu,bcnencomu
EnComu_Podem,bcnencomu
9bcomu,EnComu_Podem
9bcomu,EnComu_Podem
CafesxRepublica,republicviatger
9bcomu,EnComu_Podem
Lluisgjf,republicviatger
elysiago,EnComu_Podem
roge_bcn,republicviatger
Recautxutat,republicviatger
9bcomu,bcnencomu
9bcomu,bcnencomu
9bcomu,bcnencomu
mirumarxu,republicviatger
Oscar_Potxo,bcnencomu
TheMartianfish,republicviatger
ander_the_table,bcnencomu
Lidiajorda_,CatalunyaPlural
Lidiajorda_,jaumecollboni
Lidiajorda_,pscbarcelona
Lidiajorda_,bcn_ajuntament
StAndreuEnComu,bcnencomu
28aOriol,Esquerra_ERC
28aOriol,ernestmaragall
cmarti26,Lucia_MartinG
ElTransigente,ComunsFederals
ElTransigente,xaviertrias
Elxavisole,republicviatger
BatallaCarles,TotBcn
miki_gtr,republicviatger
CescZapata,republicviatger
IoccoLiliana,rovelldou1
ander_the_table,enricguells
ander_the_table,lucatbarone
Asumpci1,OnVasBarcelona
1ni2s,republicviatger
rosamur_dos,RavalSud
barna_diario,bcn_ajuntament
Lu_Struc,CUPBarcelona
Lu_Struc,CUPGracia
ribaldosT5812,lumorale
ribaldosT5812,bcnencomu
ribaldosT5812,eldiarioes
ribaldosT5812,Ciddavid
ribaldosT5812,bcnencomu
ander_the_table,bcnencomu
lena_mv9,MarcSerraSole
rodriguezamorin,bcnencomu
ribaldosT5812,Ciddavid
ESensenom,josepmas8
ESensenom,JuntsXCat
paugusto86,bcnencomu
JordiBosch,Jaumeasens
Ciddavid,bcnencomu
Albert_Montella,bcnencomu
Giovann48182572,DebatAlRojoVivo
ripaji,ctxt_es
ripaji,G_Pisarello
helenag001,Jaumeasens
ribaldosT5812,urisole
antifeminazi29,ivanedlm
paablosg23,Lucia_MartinG
bcnencomu,urisole
ribaldosT5812,bcnencomu
bcnencomu,Ciddavid
bcnencomu,eldiarioes
natxox,Lucia_MartinG
la_txell,alexsalmonbcn
la_txell,la_txell
Arona91,m_corrales_
Arona91,G_Pisarello
PozziPozzin,ivanedlm
ulixes_fg,OnVasBarcelona
Jedi_Sanfermin,eldiarioes
lospicos13,Lucia_MartinG
carmenfefe,oguardingo
btxcgnbv,Jaumeasens
GemmaTarafa,Lucia_MartinG
ComunsFederals,xaviertrias
PureSportsTF,bcnencomu
RosaCB12,RavalSud
natpage_,Lucia_MartinG
Xjeck55X,Jaumeasens
OlotEncomu,Lucia_MartinG
AnAnarchySon,capTercio
EnComu_Podem,bcnencomu
bcnencomu,Lucia_MartinG
EnComu_Podem,Jaumeasens
EnComu_Podem,Lucia_MartinG
EnComu_Podem,urisole
terelprieto,MarcFerre_Cat
zmartes,Lucia_MartinG
carmelo2999,Jaumeasens
Mariade37963875,Puntual24H
AlvaroLaporta,lescobartr
slabajo,franmacos
Ch_llrens,vagadefam
Franvalver1,elmundoes
Almadepoeta15,Cecilia_G_M
Qdineta,NoEsPotCat
Tito03587877,hugomanchon
LaLaodama,Yolanda_Diaz_
AdrianSagra1,Scarlett_GJ
BrianerFlying,atzur
danielsangalle,ToroenReposo
Alfonso70722035,ANDVOX1
Biciclasicamad,capTercio
DescubriendoEl8,ToroenReposo
elmojama4,ernesturtasun
elmojama4,sumar
JaraelDep,Panik81
finacapacete,hugomanchon
Andrea67238781,ToroenReposo
PanicOrfila,Cecilia_G_M
magno__ra_,wallstwolverine
22Maisas,PedroOtamendi
SEVILLA3445,lescobartr
violeta11377531,Cecilia_G_M
Carlos74GP,wallstwolverine
DuroBelinda,Panik81
DuneGhanima,DonDrPr_4ever
lamarijuli,el_pais
SaulTrend,ANDVOX1
INTROSPECCIHON,capTercio
LaChicaDel_17,ElHuffPost
aleblogger,ToroenReposo
majemares,Justo04276241
RocioCarr2,Cecilia_G_M
LaChicaDel_17,bcnencomu
LaChicaDel_17,Yolanda_Diaz_
andrea_gorgea,ToroenReposo
By_Acme_75,Eduardo54812683
AlbertoToleo,capTercio
andonivila,wallstwolverine
juanfrailedlg,ToroenReposo
RobertoDoriajo,ToroenReposo
Santi_040662,PacoEscudero12
merce969,Ludvig1973
merce969,Esquerra_ERC
Quijote216,wallstwolverine
Resistencia5a,GuajeSalvaje
maribelton,Cecilia_G_M
malamante25,Justo04276241
fmpms02,wallstwolverine
cristianbcn1,BCNmetropoli
AmorNoCorresp18,capTercio
ArroyoTell,capTercio
Franz_Iptern,ToroenReposo
PuryongDong,AbaloneOrtega
kikorron9,ANDVOX1
krlosdue,ToroenReposo
jesuss_63,ANDVOX1
documa65,OnVasBarcelona
GarzasJavier,bbirdd_
LMateo_Darsei,wallstwolverine
drjaviermurillo,capTercio
PacoHumpry,annagrauarias
sanjosemerinero,bieitorubido
YYexux,ANDVOX1
Santi_040662,Ludvig1973
Santi_040662,Esquerra_ERC
SrJorgitto,ToroenReposo
jirji_,Draconiangenie
jirji_,gabrielrufian
humbemotomartin,bieitorubido
curra01,curra01
jo_realorga,hugomanchon
portis_ana,PacoEscudero12
jo_realorga,profewebjmel
Liz_beth_GB,Ludvig1973
Liz_beth_GB,Esquerra_ERC
Liz_beth_GB,Eduardo54812683
KABIRU62842740,PedroOtamendi
libnuria,24LV4
lomejorlapaz,ToroenReposo
llano21,capTercio
Alorenzo1957,pmusifloren
Alorenzo1957,PSOE
Cateusca1,ANDVOX1
MiguelJ73001074,ToroenReposo
andergayamor,el_pais
Estersinhache69,GuajeSalvaje
PSalazarGordon,hugomanchon
jmparism,Ludvig1973
jmparism,Esquerra_ERC
Cateusca1,ToroenReposo
The_Impert,annagrauarias
msep0003,wallstwolverine
Valenciano1410,wallstwolverine
CristianCaella1,wallstwolverine
240970fam,GuajeSalvaje
mvernedacasas,pscbarcelona
cheloserradilla,MundoBurbu
WillyMa38682369,PacoEscudero12
senyorforns,begogomezurzaiz
curra01,ANDVOX1
DuroBelinda,anluma99
Vaoret,el_pais
orbita1943,el_pais
Cristin26570669,Cristal530R
TeresaFemXarxa,Ludvig1973
TeresaFemXarxa,Esquerra_ERC
Mirinda40170774,capTercio
j_angel32,capTercio
jgsanchezmurcia,hugomanchon
JulianDeLucas,GuajeSalvaje
MiguelPValiente,wallstwolverine
lolisr,ToroenReposo
GJavalambre,Restreal77
Youtabu46,ToroenReposo
DuroBelinda,arrmate1
BorjitaLocura,ToroenReposo
GuillemValls23,OnVasBarcelona
ii_observer,VGnarlyV
quietosisino,capTercio
aimartnez,Panik81
azul77551,Cristal530R
aimartnez,Cristal530R
BorjitaLocura,capTercio
Aliole09,2Franpodemos
Aliole09,ernesturtasun
Aliole09,sumar
Aliole09,Yolanda_Diaz_
MargaSa22072583,Cecilia_G_M
hastalos9,PedroOtamendi
Manolo67554861,Cecilia_G_M
tonicportela,capTercio
Requena1939,PacoEscudero12
manumenr,hugomanchon
Gamby52,arrmate1
alvarombr_,hugomanchon
IsaIiber,ToroenReposo
JohnFixados,wallstwolverine
Yunke1300,ToroenReposo
Aliole09,AbaloneOrtega
JoanAGarciaCon1,PacoEscudero12
AlvaroCdTE,ToroenReposo
merce969,PacoEscudero12
EfectoPrimario_,eldebate_com
deadpoolcanalla,wallstwolverine
cayetanogonzagu,el_pais
equotorrejon,publico_es
rillo1955,arrmate1
Alex_infy,PedroOtamendi
HTxiki,ToroenReposo
LisLennox,Rafa_Hernando
LisLennox,Yolanda_Diaz_
LisLennox,AdaColau
toystresa,hugomanchon
Mendezarmientog,capTercio
AnAnarchySon,ElHuffPost
JuanitoQuetglas,ElHuffPost
ditoferporo,PedroOtamendi
Ontour39867847,wallstwolverine
Dravidica,Dravidica
cornicales,ElHuffPost
fxromanfer,Antonperilon
Mustang1973isa,ToroenReposo
JesusRuiz09,ToroenReposo
JulioMartnezFo1,eldebate_com
Xelkambio,PedroOtamendi
RaulArtiaga,capTercio
Xelkambio,GraaLpez
cheposlovako,capTercio
17Correa,wallstwolverine
LouNaGo,ToroenReposo
ReginoDuarteM,ToroenReposo
Pereira_Hugo_,antoniorossi
LagunaLm3,ToroenReposo
Krissssss25,wallstwolverine
violetclear1,ToroenReposo
nomecallolaboca,capTercio
jocesbol2,pmusifloren
jocesbol2,PSOE
uagadugu31,wallstwolverine
Joseph07157304,ElHuffPost
MamenI79757492,ElHuffPost
Kasheox,ToroenReposo
Saymon180068091,ToroenReposo
aguila_bl,PedroOtamendi
GianFVirardi,wallstwolverine
LuisRodri58,ToroenReposo
m6278467,ToroenReposo
jaumeroldos,vagadefam
m6278467,ToroenReposo
Egarcamp111,24LV4
y_armadas,ToroenReposo
pabloromeror,capTercio
gabrielrf911,wallstwolverine
brianvanderbest,hugomanchon
Semoriramasito,ToroenReposo
aple27,capTercio
blvpitt,GuajeSalvaje
FernandoReimon1,capTercio
elmanifiestocom,capTercio
bernasa30586069,capTercio
m6278467,capTercio
jocesbol2,Cecilia_G_M
tancatibarrat,NoEsPotCat
434didi,f10garrido
434didi,ionebelarra
tancatibarrat,Eduardo54812683
CLuisC7,capTercio
434didi,arrmate1
brianvanderbest,PedroOtamendi
daniiicasti13,capTercio
Davidgoliat18,ToroenReposo
tuilavsky,GuajeSalvaje
burelillo,Justo04276241
lauriti1,Justo04276241
brandydh22,Justo04276241
manumr1998,wallstwolverine
BernatGT,AlbanoDante76
Nickoprez,hugomanchon
emi_juanl1,capTercio
manujimenez_31,capTercio
Mery02469600,franju
danibrea23,ToroenReposo
Gulag2016,carlitos_return
Blese84706976,wallstwolverine
charliemcoy85,wallstwolverine
Joyse13Joyse,hugomanchon
Mercede06751222,rogerdelluria14
Elena18226557,capTercio
XiomaSnchez1,capTercio
profewebjmel,profewebjmel
1985Gavito,PedroOtamendi
Aloe29687512,hugomanchon
Eduard08846077,BalbontinCas
a_versifunciona,Panik81
Dvo_Casarapa,capTercio
Eduard08846077,capTercio
NgelaFuen1,Cecilia_G_M
Eduardo65539796,bieitorubido
MoixAlbert,Eduardo54812683
BananaVecina,Cecilia_G_M
GEBAUMU,ToroenReposo
ISABEL87507005,elmundoes
dorta_ines,capTercio
GEBAUMU,GuajeSalvaje
Mery02469600,Justo04276241
FernandoReimon1,ToroenReposo
Joyse13Joyse,capTercio
YOLANDA34261209,HeiwaPaz
rubensituu,wallstwolverine
moeen22prados,ToroenReposo
aantuuuan90,wallstwolverine
uRureal,Panik81
manza_pop,capTercio
NoTamameswey,capTercio
Rosario17274226,hugomanchon
KVASpain,ernesturtasun
KVASpain,sumar
Segospartano,ToroenReposo
fuertecabeza,annagrauarias
sa86618750,capTercio
tomeetyou2_16,ToroenReposo
asineslabida,DSFradiomarca
aguen_mc,capTercio
CarlosVecino4,AlbanoDante76
jaimembm,Panik81
Gomis1,PacoEscudero12
Anyi_anonadada,AbaloneOrtega
alfrebo,wallstwolverine
LilDerpPotatoe,ToroenReposo
GPovas,capTercio
FCG9903,capTercio
Juanjo3800,elmundoes
Alpunto007,Panik81
pachalou23,capTercio
milagros_andreu,Antonperilon
milagros_andreu,f10garrido
milagros_andreu,ionebelarra
milagros_andreu,vikavika601
milagros_andreu,jmanuelcade
milagros_andreu,MonederoJC
milagros_andreu,Yolanda_Diaz_
milagros_andreu,go_rocko
Joyse13Joyse,ToroenReposo
milagros_andreu,luis29420
milagros_andreu,arrmate1
altarriva,capTercio
merchi_otero,AbaloneOrtega
EloyValMar,franciscojcoral
1949_enrique,capTercio
pablo_soriano27,capTercio
EloyValMar,GironaJean
EloyValMar,valents_cat
milagros_andreu,Cesar_Opinions
checla1973,capTercio
milagros_andreu,observatorio14
vegaparrilla,Cecilia_G_M
Miguel_A_Guti,Cecilia_G_M
juliancallejo,frandepan
CarrilVirgilio,carlitos_return
milagros_andreu,Antonperilon
milagros_andreu,RepubicanoSoy
luis87042671,capTercio
milagros_andreu,yomismaconcha
CondeFabian,ToroenReposo
milagros_andreu,nmechilsknteveo
milagros_andreu,pipi_196
milagros_andreu,HeiwaPaz
milagros_andreu,sumar
milagros_andreu,Yolanda_Diaz_
jesusvilloria80,capTercio
CondeFabian,PedroOtamendi
EvelynAguado1,bbirdd_
diegogm1998,PedroOtamendi
LilDerpPotatoe,capTercio
DeUrbin,NoEsPotCat
GarzaLambda,wallstwolverine
milagros_andreu,HeiwaPaz
Marichu321,AbaloneOrtega
villanuevapicaz,capTercio
lecanardfou2,capTercio
b3lvdx,wallstwolverine
PuryongDong,Panik81
WyomingGran,Roberto50991705
PaiquitoMaister,capTercio
Alberto27O1,capTercio
1961_NONO,Antonperilon
Cromwel4444,arrmate1
ClunaJosep,PacoEscudero12
angel_complutum,wallstwolverine
Cromwel4444,Panik81
ngelGarcsLuque1,BalbontinCas
Cromwel4444,Antonperilon
JordiBatallaS,Ludvig1973
JordiBatallaS,Esquerra_ERC
lys_Podemos,Cristal530R
Valents_bcn,jordisubirana
Valents_bcn,PareraEva
Valents_bcn,valents_cat
Valents_bcn,oscar_benitez_b
gas_vent,Cobi_Bcn
Valents_bcn,PareraEva
IMP_Manuel,Panik81
ToniPontehg,wallstwolverine
creativeblak,wallstwolverine
nugarci1,Cecilia_G_M
Robertovillen10,capTercio
catle_josh,Ludvig1973
catle_josh,Esquerra_ERC
LaVendision_,wallstwolverine
Aloe29687512,BalbontinCas
Gonzalo78299532,wallstwolverine
jmalegretb,24LV4
mpilarita4121,encarpe71
LOCOCOMIOIII,capTercio
karmele_garces,bieitorubido
Teresaperezcep1,ernesturtasun
Teresaperezcep1,sumar
cerumu,AbaloneOrtega
andergayamor,PedroOtamendi
Rafa2332r,capTercio
cronicaglobal,cronicaglobal
sarizor,LianaEHE
sarizor,juralde
sarizor,marimardona
sarizor,sumar
sarizor,Yolanda_Diaz_
sarizor,PODEMOS
sarizor,gerardotc
Manimal_Dog,PedroOtamendi
cristinaguerr22,AbaloneOrtega
samudvl,capTercio
Chema_Ferrol,PedroOtamendi
julius44947833,wallstwolverine
julius44947833,PedroOtamendi
adolfobetis,capTercio
milagros_andreu,Justo04276241
nugarci1,ernesturtasun
nugarci1,sumar
EmiliaCgutierr5,Cecilia_G_M
milagros_andreu,Antonperilon
Teresaperezcep1,Cecilia_G_M
JosLuis42206925,ToroenReposo
milagros_andreu,Cristal530R
LiTaotheking,JUANPEREZPEDRO1
LiTaotheking,Vidushi_ii
LiTaotheking,IzquierdaUnida
LiTaotheking,PODEMOS
milagros_andreu,AbaloneOrtega
milagros_andreu,Panik81
milagros_andreu,arrmate1
MASACRE130,GuajeSalvaje
flauisa,Cristal530R
OdEstebanME,capTercio
josu_o_pagoaga,vikavika601
josu_o_pagoaga,jmanuelcade
josu_o_pagoaga,MonederoJC
josu_o_pagoaga,Yolanda_Diaz_
flauisa,Antonperilon
flauisa,AbaloneOrtega
Quinofmm,ToroenReposo
flauisa,Panik81
flauisa,arrmate1
Esther02194021,capTercio
gabillina40,capTercio
EvitaMag,PedroOtamendi
josu_o_pagoaga,Antonperilon
dxvyz_,wallstwolverine
aguen_mc,ToroenReposo
Shiq222528,bbirdd_
DoloresMillanM1,Cristal530R
JosePrietoLopez,Puntual24H
Laurysreyes2,GuajeSalvaje
troyana25,gvillalba002
troyana25,Yolanda_Diaz_
Alfredo18847869,wallstwolverine
JuanJosortiz17,GuajeSalvaje
manelrawal,AlbanoDante76
manelrawal,AlbanoDante76
dirdamlaer2,capTercio
CarmenSanCarlos,carlitos_return
